fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1068","22.5643","41.0346","9.2217",δ,Ευζώνοι,"222","140",54.3143844604492
"1069","22.5976","41.0346","0.995",δ,Ευζώνοι,"222","151",137.008712768555
"1070","22.6309","41.0346","-3.6075",Hl.s1,- Κουφάλια - Εύζωνοι,"5","121",21.3823471069336
"1071","22.6642","41.0346","-0.9402",Hl.l,- Κουφάλια - Εύζωνοι,"5","120",20.524772644043
"1072","22.7308","41.1345","8.3967",Ts.ph,Ευζώνοι,"413","178",294.160919189453
"1073","22.7308","41.1012","4.768",Ts.ph,Ευζώνοι,"413","153",148.322494506836
"1074","22.531","41.1012","10.4828",H.t,Ευζώνοι,"121","137",42.7376136779785
"1075","22.7308","41.0679","3.58",H.t,- Χέρσον - Εύζωνοι,"121","142",54.1053352355957
"1076","22.531","41.0679","7.2201",o,Ευζώνοι,"412","136",138.785308837891
"1077","22.531","41.0346","11.3677",M4.c,- Εύζωνο- Σκρα,"211","155",166.365524291992
"1078","22.6975","41.0679","-1.6989",Hl.s1,- Κουφάλια - Εύζωνοι,"5","135",38.7072639465332
"1079","22.5976","41.0013","-3.8434",Hl.s1,- Κουφάλια - Εύζωνοι,"5","125",24.5314178466797
"1080","22.6642","41.0013","1.7502","Pt.l,s",- Κουφάλια - Εύζωνοι,"111","147",96.8308258056641
"1081","22.5643","41.0013","1.9631","Pt.l,s",- Εύζωνοι,"121","134",42.4732971191406
"1082","22.7641","41.0679","0.9326",Pt.t,- Κιλκίς - Χέρσον - Εύζωνοι,"111","144",66.99609375
"1083","22.9306","41.1345","-1.4681",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","206",469.347686767578
"1084","22.7974","41.1012","-2.8811",Pt.t,- Κιλκίς - Χέρσον - Εύζωνοι,"111","149",114.356986999512
"1085","22.8307","41.1012","-5.6433",Pt.t,- Κιλκίς - Χέρσον - Εύζωνοι,"111","157",159.460189819336
"1086","22.7974","41.0679","-3.5148",Pt.t,- Κιλκίς - Χέρσον - Εύζωνοι,"111","147",102.701766967773
"1087","22.7308","41.0346","2.1697",Pt.t,- Κιλκίς - Χέρσον - Εύζωνοι,"111","148",111.5791015625
"1088","22.7308","41.0013","1.2582","Pt.l,s",- Κουφάλια - Κιλκίς - Εύζωνοι,"111","152",138.198760986328
"1089","22.7974","40.968","-0.0297",el,- Κιλκίς - Χέρσον,"42","153",133.304824829102
"1090","22.7641","40.9347","2.7566","Pt.l,s",- Κουφάλια - Κιλκίς - Εύζωνοι,"111","150",119.263153076172
"1091","22.7641","40.9014","6.4717",H.t.c,- Κιλκίς,"111","143",67.9339981079102
"1092","23.1637","40.7682","-16.3831",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","190",321.193878173828
"1093","23.0305","40.7349","-9.0152",H.l,Θέρμη - Λαχανάς,"111","145",88.395378112793
"1094","23.0638","40.7016","-8.867",H.l,Θέρμη - Λαχανάς,"111","144",76.9414749145508
"1095","23.2303","40.7682","-9.6073",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","200",420.972534179688
"1096","23.3635","40.7682","6.0422",ab-gn2,Ζαγκλιβέρι - Σοχός,"323","206",459.516387939453
"1097","23.2303","40.7349","-9.3859",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","189",316.897125244141
