id,f,l,H,dg
1,40.62657479,22.9598065,24.1412,31.7392
1,40.62622357,22.96021988,24.7747,31.4072
1,40.62773183,22.95935971,38.7917,36.6403
1,40.62735423,22.959397,23.4127,31.9115
1,40.63094933,22.95325632,18.8243,31.2113
1,40.62970428,22.95194869,12.9342,29.6147
1,40.62792581,22.95050211,7.2274,29.1493
1,40.62651827,22.94924883,3.2974,29.2387
1,40.62594523,22.94868039,2.569,29.3673
1,40.63045924,22.95380263,19.1364,31.5667
1,40.62993436,22.95521697,19.8604,32.4006
1,40.62966616,22.95571365,20.0176,32.4628
1,40.62925668,22.95629201,20.3437,32.6836
1,40.62892671,22.95681261,20.9132,32.6558
1,40.62857403,22.9572006,21.2924,32.5929
1,40.62807685,22.95774705,21.8545,32.4668
1,40.62753155,22.95835308,22.5345,32.3649
1,40.62703426,22.95888993,23.2442,32.2984
1,40.62703393,22.9588898,23.2737,32.0098
1,40.62636271,22.95962554,24.2181,31.8129
1,40.6260152,22.95936445,23.1529,31.7722
1,40.62583556,22.95865657,20.7228,31.5589
1,40.62562058,22.95784574,19.2705,31.3818
1,40.62544712,22.95719176,18.3831,31.209
1,40.62513759,22.95602484,13.6913,30.6978
1,40.62467429,22.95458055,8.5308,30.4596
1,40.62425302,22.95368285,6.3522,30.403
1,40.62388538,22.95262327,4.1888,29.9059
1,40.62359335,22.9518645,3.229,29.1889
1,40.62322374,22.9510503,1.7152,28.6265
1,40.62485079,22.94872868,1.7838,29.5335
1,40.62434951,22.94925427,1.6082,29.4081
1,40.62388904,22.95006122,1.6928,28.9954
1,40.62343952,22.95073546,1.7805,28.6859
1,40.62413243,22.95144639,3.5233,29.2877
1,40.62459033,22.95086227,3.4007,29.3276
1,40.62502401,22.95034585,3.3258,29.4164
1,40.62553859,22.94976079,2.9743,29.3936
1,40.62600436,22.94959553,3.0922,29.3972
1,40.62555846,22.95024843,3.2925,29.4153
1,40.62510782,22.95084627,3.4609,29.3946
1,40.62475962,22.95147671,3.6747,29.6132
1,40.62437966,22.95211987,4.1118,29.9188
1,40.6242597,22.9530405,4.5331,30.3642
1,40.62479163,22.95302001,5.018,30.7141
1,40.62540395,22.95291524,5.5477,30.8766
1,40.6260329,22.95289721,6.0294,30.8817
1,40.6267763,22.95275602,6.3702,30.691
1,40.62708555,22.95219209,6.4642,30.2695
1,40.62727398,22.95153449,6.6116,29.5633
1,40.62759431,22.95084543,7.4953,29.3835
1,40.62703893,22.95035627,4.9225,29.2521
1,40.62636183,22.95016951,3.6784,29.26
1,40.626362,22.95110207,4.5663,29.5504
1,40.62637304,22.95235712,6.0327,30.5588
1,40.6269428,22.95320739,6.9584,30.7584
1,40.62781639,22.95323658,9.5305,30.6268
1,40.62895235,22.95338949,13.1621,30.5544
1,40.62997419,22.95353172,16.358,30.9963
1,40.62611469,22.95863234,20.9163,31.7017
1,40.6268142,22.95809934,18.8032,31.7462
1,40.62729831,22.95697768,16.4618,31.7849
1,40.62779732,22.95671208,16.5713,31.9348
1,40.62839523,22.95613379,16.7037,32.0198
1,40.62891429,22.95548576,16.3762,31.9786
1,40.62910868,22.95466668,15.6465,31.6748
1,40.63001549,22.95416638,18.2099,31.6809
1,40.62847457,22.95501157,14.4649,31.5806
1,40.6279009,22.95512347,13.6956,31.3797
1,40.62727403,22.95153485,6.6677,29.3273
1,40.62651216,22.95597656,14.4227,31.1698
1,40.6262618,22.95496743,12.2455,30.8339
1,40.62666182,22.95443339,10.4041,30.8382
1,40.62505757,22.95518228,9.5905,30.4029
1,40.62548339,22.95451082,8.2951,30.5509
1,40.62602608,22.95372887,6.8722,30.8488
1,40.62554344,22.95195992,4.836,30.2102
1,40.62608191,22.95260486,5.9335,30.754
1,40.62682785,22.95346946,7.1628,30.8274
1,40.62738659,22.95407567,10.144,30.9313
1,40.62820014,22.95509876,13.8787,31.4231
1,40.62875676,22.95592439,17.0068,32.0614
